Date,Location,Car,TireFL_BL,TireFR_BL,TireBL_BL,TireBR_BL,Alert?,Qual Meas?,Spec,NotesActual,Notes,TireFL_var,TireFR_var,TireBL_var,TireBR_var,TireFL,TireFR,TireBL,TireBR,USL,LSL
2012-08-01,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.02427525407,-0.0605286849,0.02320761269,-0.0006739124039,31.87572475,31.73947132,32.12320761,32.19932609,36.8,27.2
2012-08-02,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,0.004080852006,-0.1221683609,-0.1164318529,-0.01590055925,31.90408085,31.67783164,31.98356815,32.18409944,36.8,27.2
2012-08-03,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,0.005912315775,0.04717365757,-0.06806652015,0.0833964643,31.90591232,31.84717366,32.03193348,32.28339646,36.8,27.2
2012-08-04,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.005474188452,-0.003536976365,-0.03132698807,0.04866064178,31.89452581,31.79646302,32.06867301,32.24866064,36.8,27.2
2012-08-05,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,0.002158723979,-0.03602351255,-0.0313358449,-0.03436978703,31.90215872,31.76397649,32.06866416,32.16563021,36.8,27.2
2012-08-06,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,0.01896074396,-0.03061523438,-0.07479729591,-0.005283480509,31.91896074,31.76938477,32.0252027,32.19471652,36.8,27.2
2012-08-07,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,0.04703449825,0.006329799802,0.009086955692,-0.05988245522,31.9470345,31.8063298,32.10908696,32.14011754,36.8,27.2
2012-08-08,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.08945206373,-0.06615393669,0.03155479437,-0.02846668253,31.81054794,31.73384606,32.13155479,32.17153332,36.8,27.2
2012-08-09,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.02377024611,0.03145724875,-0.02379524744,-0.0320977076,31.87622975,31.83145725,32.07620475,32.16790229,36.8,27.2
2012-08-10,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.06324533517,-0.05475796773,-0.08035783774,-0.03293926224,31.83675466,31.74524203,32.01964216,32.16706074,36.8,27.2
2012-08-11,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,0.0423733904,-0.04979449723,-0.08969618231,-0.0295731756,31.94237339,31.7502055,32.01030382,32.17042682,36.8,27.2
2012-08-12,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.1080071321,0.02360953135,0.0202656931,0.07060908426,31.79199287,31.82360953,32.12026569,32.27060908,36.8,27.2
2012-08-13,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.03179176882,0.08379290713,-0.002540510772,0.05370942343,31.86820823,31.88379291,32.09745949,32.25370942,36.8,27.2
2012-08-14,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,0.009567055482,-0.01016854344,-0.04416073715,-0.06539774526,31.90956706,31.78983146,32.05583926,32.13460225,36.8,27.2
2012-08-15,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.03326089147,0.01812410847,0.07496801521,-0.0962139057,31.86673911,31.81812411,32.17496802,32.10378609,36.8,27.2
2012-08-16,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,0.004995540198,-0.07228870176,0.04814749752,0.01077735504,31.90499554,31.7277113,32.1481475,32.21077736,36.8,27.2
2012-08-17,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,0.007288986009,-0.07450049905,-0.0494011845,-0.04770170206,31.90728899,31.7254995,32.05059882,32.1522983,36.8,27.2
2012-08-18,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.1023176935,0.04533567834,-0.06408380832,-0.05935487702,31.79768231,31.84533568,32.03591619,32.14064512,36.8,27.2
2012-08-19,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.03759564462,-0.03060217703,0.04575472289,0.04914527585,31.86240436,31.76939782,32.14575472,32.24914528,36.8,27.2
2012-08-20,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.07748371587,-0.04891420635,-0.04623749034,-0.1108439211,31.82251628,31.75108579,32.05376251,32.08915608,36.8,27.2
2012-08-21,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.1187557105,-0.116452531,0.0005086901633,-0.0531558114,31.78124429,31.68354747,32.10050869,32.14684419,36.8,27.2
2012-08-22,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.01273798105,-0.04371024838,-0.03943336957,-0.02566410598,31.88726202,31.75628975,32.06056663,32.17433589,36.8,27.2
2012-08-23,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.04953150037,0.02172663089,0.06105372042,-0.001346525288,31.8504685,31.82172663,32.16105372,32.19865347,36.8,27.2
2012-08-24,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,0.005580300547,-0.0321740446,0.02146864762,-0.03584089946,31.9055803,31.76782596,32.12146865,32.1641591,36.8,27.2
2012-08-25,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.02629192745,0.009644491134,-0.04264129384,-0.05038566023,31.87370807,31.80964449,32.05735871,32.14961434,36.8,27.2
2012-08-26,California,Honda Fit 2012,31.9,31.8,32.1,32.2,FALSE,FALSE,32 psi front/rear (+- 20% = 25.6),Normal air loss,,-0.1108206064,-0.1100062937,-0.006455873089,-0.1148762373,31.78917939,31.68999371,32.09354413,32.08512376,36.8,27.2
